id,valid_time,knowledge_time,zone,price_eur_mwh,price_dkk_mwh,source,quality_passed,quality_report,created_at
4819,2025-07-02 22:00:00,2025-07-02 22:00:00,DK1,83.489998,622.96062,energidataservice_csv,1,,2026-07-12 14:53:35
4820,2025-07-02 22:00:00,2025-07-02 22:00:00,DK2,83.489998,622.96062,energidataservice_csv,1,,2026-07-12 14:53:35
4817,2025-07-02 23:00:00,2025-07-02 23:00:00,DK1,80.910004,603.709995,energidataservice_csv,1,,2026-07-12 14:53:35
4818,2025-07-02 23:00:00,2025-07-02 23:00:00,DK2,80.900002,603.635365,energidataservice_csv,1,,2026-07-12 14:53:35
4815,2025-07-03 00:00:00,2025-07-03 00:00:00,DK1,62.950001,469.701432,energidataservice_csv,1,,2026-07-12 14:53:35
4816,2025-07-03 00:00:00,2025-07-03 00:00:00,DK2,62.950001,469.701432,energidataservice_csv,1,,2026-07-12 14:53:35
4813,2025-07-03 01:00:00,2025-07-03 01:00:00,DK1,44.080002,328.902935,energidataservice_csv,1,,2026-07-12 14:53:35
4814,2025-07-03 01:00:00,2025-07-03 01:00:00,DK2,44.040001,328.604467,energidataservice_csv,1,,2026-07-12 14:53:35
4811,2025-07-03 02:00:00,2025-07-03 02:00:00,DK1,33.189999,247.647178,energidataservice_csv,1,,2026-07-12 14:53:35
4812,2025-07-03 02:00:00,2025-07-03 02:00:00,DK2,33.16,247.42334,energidataservice_csv,1,,2026-07-12 14:53:35
4809,2025-07-03 03:00:00,2025-07-03 03:00:00,DK1,13.58,101.32717,energidataservice_csv,1,,2026-07-12 14:53:35
4810,2025-07-03 03:00:00,2025-07-03 03:00:00,DK2,51.610001,385.088022,energidataservice_csv,1,,2026-07-12 14:53:35
4807,2025-07-03 04:00:00,2025-07-03 04:00:00,DK1,4.08,30.44292,energidataservice_csv,1,,2026-07-12 14:53:35
4808,2025-07-03 04:00:00,2025-07-03 04:00:00,DK2,30.92,230.70958,energidataservice_csv,1,,2026-07-12 14:53:35
4805,2025-07-03 05:00:00,2025-07-03 05:00:00,DK1,2.58,19.25067,energidataservice_csv,1,,2026-07-12 14:53:35
4806,2025-07-03 05:00:00,2025-07-03 05:00:00,DK2,37.91,282.865465,energidataservice_csv,1,,2026-07-12 14:53:35
4803,2025-07-03 06:00:00,2025-07-03 06:00:00,DK1,2.3,17.16145,energidataservice_csv,1,,2026-07-12 14:53:35
