id,valid_time,knowledge_time,zone,price_eur_mwh,price_dkk_mwh,source,quality_passed,quality_report,created_at
4819,"2025-07-02 22:00:00","2025-07-02 22:00:00",DK1,83.489998,622.96062,energidataservice_csv,1,,"2026-07-12 14:53:35"
4817,"2025-07-02 23:00:00","2025-07-02 23:00:00",DK1,80.910004,603.709995,energidataservice_csv,1,,"2026-07-12 14:53:35"
4815,"2025-07-03 00:00:00","2025-07-03 00:00:00",DK1,62.950001,469.701432,energidataservice_csv,1,,"2026-07-12 14:53:35"
4813,"2025-07-03 01:00:00","2025-07-03 01:00:00",DK1,44.080002,328.902935,energidataservice_csv,1,,"2026-07-12 14:53:35"
4811,"2025-07-03 02:00:00","2025-07-03 02:00:00",DK1,33.189999,247.647178,energidataservice_csv,1,,"2026-07-12 14:53:35"
4809,"2025-07-03 03:00:00","2025-07-03 03:00:00",DK1,13.58,101.32717,energidataservice_csv,1,,"2026-07-12 14:53:35"
4807,"2025-07-03 04:00:00","2025-07-03 04:00:00",DK1,4.08,30.44292,energidataservice_csv,1,,"2026-07-12 14:53:35"
4805,"2025-07-03 05:00:00","2025-07-03 05:00:00",DK1,2.58,19.25067,energidataservice_csv,1,,"2026-07-12 14:53:35"
4803,"2025-07-03 06:00:00","2025-07-03 06:00:00",DK1,2.3,17.16145,energidataservice_csv,1,,"2026-07-12 14:53:35"
4801,"2025-07-03 07:00:00","2025-07-03 07:00:00",DK1,0.0,0.0,energidataservice_csv,1,,"2026-07-12 14:53:35"
4799,"2025-07-03 08:00:00","2025-07-03 08:00:00",DK1,-0.01,-0.074615,energidataservice_csv,1,,"2026-07-12 14:53:35"
4797,"2025-07-03 09:00:00","2025-07-03 09:00:00",DK1,0.0,0.0,energidataservice_csv,1,,"2026-07-12 14:53:35"
4795,"2025-07-03 10:00:00","2025-07-03 10:00:00",DK1,0.02,0.14923,energidataservice_csv,1,,"2026-07-12 14:53:35"
4793,"2025-07-03 11:00:00","2025-07-03 11:00:00",DK1,0.06,0.44769,energidataservice_csv,1,,"2026-07-12 14:53:35"
4791,"2025-07-03 12:00:00","2025-07-03 12:00:00",DK1,0.0,0.0,energidataservice_csv,1,,"2026-07-12 14:53:35"
