cd ~/EnergyLenscd ~/EnergyLens
git add -A
git commit -m "Add ENTSO-E generation features to production pipeline"
git push
gcloud run deploy energylens --source . --region europe-north1time,SpotPriceEUR,SpotPriceDKK,temperature_2m,wind_speed_10m,direct_radiation,diffuse_radiation,cloud_cover,precipitation,wind_generation_mw,solar_generation_mw,renewable_generation,total_generation_mw,gen_B15,gen_biomass,gen_fossil_gas,gen_fossil_hard_coal,gen_fossil_oil,gen_hydro_river,gen_solar,gen_solar_thermal,gen_wind_offshore,gen_wind_onshore
2025-07-02 22:00:00,83.489998,622.96062,,,,,,,,,,,,,,,,,,,,
2025-07-02 23:00:00,80.910004,603.709995,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00,62.950001,469.701432,,,,,,,,,,,,,,,,,,,,
2025-07-03 01:00:00,44.080002,328.902935,,,,,,,,,,,,,,,,,,,,
2025-07-03 02:00:00,33.189999,247.647178,,,,,,,,,,,,,,,,,,,,
2025-07-03 03:00:00,13.58,101.32717,,,,,,,,,,,,,,,,,,,,
2025-07-03 04:00:00,4.08,30.44292,,,,,,,,,,,,,,,,,,,,
2025-07-03 05:00:00,2.58,19.25067,,,,,,,,,,,,,,,,,,,,
2025-07-03 06:00:00,2.3,17.16145,,,,,,,,,,,,,,,,,,,,
2025-07-03 07:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2025-07-03 08:00:00,-0.01,-0.074615,,,,,,,,,,,,,,,,,,,,
2025-07-03 09:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2025-07-03 10:00:00,0.02,0.14923,,,,,,,,,,,,,,,,,,,,
2025-07-03 11:00:00,0.06,0.44769,,,,,,,,,,,,,,,,,,,,
2025-07-03 12:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2025-07-03 13:00:00,0.05,0.373075,,,,,,,,,,,,,,,,,,,,
2025-07-03 14:00:00,2.03,15.146845,,,,,,,,,,,,,,,,,,,,
2025-07-03 15:00:00,3.16,23.57834,,,,,,,,,,,,,,,,,,,,
2025-07-03 16:00:00,4.21,31.412915,,,,,,,,,,,,,,,,,,,,
2025-07-03 17:00:00,74.0,552.151,,,,,,,,,,,,,,,,,,,,
2025-07-03 18:00:00,131.050003,977.829597,,,,,,,,,,,,,,,,,,,,
2025-07-03 19:00:00,151.100006,1127.432695,,,,,,,,,,,,,,,,,,,,
2025-07-03 20:00:00,133.300003,994.617972,,,,,,,,,,,,,,,,,,,,
2025-07-03 21:00:00,117.029999,873.219338,,,,,,,,,,,,,,,,,,,,
2025-07-03 22:00:00,109.07,813.847619,,,,,,,,,,,,,,,,,,,,
2025-07-03 23:00:00,103.459999,771.987475,,,,,,,,,,,,,,,,,,,,
